draw,portfolio_plain_draw_column_2,portfolio_bonus_draw_column_2,portfolio_para1_draw_column_2,portfolio_para1_bonus_draw_column_2,portfolio_plain_draw_column_5,portfolio_bonus_draw_column_5,portfolio_para1_draw_column_5,portfolio_para1_bonus_draw_column_5,portfolio_plain_draw_column_7,portfolio_bonus_draw_column_7,portfolio_para1_draw_column_7,portfolio_para1_bonus_draw_column_7
5849,-3191.5067,-4140.515,-3897.6933,-4846.7017,-3151.2733,-4068.3817,-3971.3733,-4888.4817,-3129.53,-4037.4033,-4096.53,-5004.4033
5850,-3192.1917,-4141.4167,-3898.485,-4847.71,-3152.03,-4069.3283,-3972.13,-4889.4283,-3130.245,-4038.2,-4097.745,-5005.7
5851,-3192.7783,-4142.0117,-3899.1783,-4848.4117,-3152.7733,-4070.2883,-3973.1733,-4890.6883,-3130.885,-4039.065,-4098.885,-5007.065
5852,-3193.26,-4142.5267,-3899.79,-4849.0567,-3153.3067,-4071.05,-3973.6067,-4891.35,-3131.3367,-4039.5383,-4099.8367,-5008.0383
5853,-3194.0017,-4143.5933,-3900.6817,-4850.2733,-3154.1433,-4072.14,-3974.6433,-4892.64,-3132.1433,-4040.5933,-4101.1433,-5009.5933
5854,-3194.7317,-4144.4567,-3901.5283,-4851.2533,-3155.01,-4073.2767,-3975.71,-4893.9767,-3132.6483,-4041.3,-4099.1483,-5007.8
5855,-3195.1667,-4145.2167,-3902.0433,-4852.0933,-3155.56,-4074.21,-3976.36,-4895.01,-3133.1767,-4042.175,-4100.1767,-5009.175
5856,-3195.825,-4145.95,-3902.8083,-4852.9333,-3156.39,-4075.24,-3977.49,-4896.34,-3133.9317,-4043.1533,-4101.4317,-5010.6533
5857,-3196.4467,-4146.8383,-3903.55,-4853.9417,-3157.09,-4076.115,-3978.29,-4897.315,-3134.455,-4043.3583,-4100.955,-5009.8583
5858,-3197.095,-4147.695,-3904.3483,-4854.9483,-3157.1833,-4076.5967,-3978.7833,-4898.1967,-3135.215,-4044.4733,-4102.215,-5011.4733
5859,-3197.665,-4148.4067,-3904.9983,-4855.74,-3157.95,-4077.425,-3979.85,-4899.325,-3135.8567,-4045.1433,-4103.3567,-5012.6433
5860,-3198.1517,-4148.9683,-3905.6083,-4856.425,-3158.5167,-4078.1283,-3980.5167,-4900.1283,-3136.4117,-4045.9417,-4104.4117,-5013.9417
5861,-3198.315,-4149.5317,-3905.9117,-4857.1283,-3158.8,-4078.63,-3980.9,-4900.73,-3136.505,-4045.8767,-4103.505,-5012.8767
5862,-3199.2933,-4150.86,-3906.96,-4858.5267,-3159.9733,-4080.07,-3982.4733,-4902.57,-3137.615,-4047.2467,-4105.115,-5014.7467
5863,-3199.8433,-4151.5933,-3907.6433,-4859.3933,-3160.6667,-4081.03,-3983.4667,-4903.83,-3138.2217,-4048.0583,-4106.2217,-5016.0583
5864,-3200.0917,-4151.575,-3908.005,-4859.4883,-3160.9767,-4081.2783,-3983.4767,-4903.7783,-3138.4633,-4048.5217,-4105.4633,-5015.5217
5865,-3200.765,-4152.4567,-3908.8183,-4860.51,-3161.7833,-4082.2367,-3984.3833,-4904.8367,-3139.2717,-4049.6967,-4106.7717,-5017.1967
5866,-3201.375,-4153.2583,-3909.585,-4861.4683,-3162.5967,-4083.285,-3985.4967,-4906.185,-3140.0583,-4050.81,-4108.0583,-5018.81
5867,-3201.8717,-4153.6967,-3910.195,-4862.02,-3163.2833,-4084.3133,-3986.3833,-4907.4133,-3140.6033,-4051.675,-4109.1033,-5020.175
5868,-3202.5883,-4154.405,-3911.0717,-4862.8883,-3164.0933,-4085.3167,-3987.2933,-4908.5167,-3141.4717,-4052.815,-4110.4717,-5021.815
5869,-3202.8033,-4154.7783,-3911.38,-4863.355,-3164.5067,-4086.035,-3987.9067,-4909.435,-3141.8383,-4053.4383,-4111.3383,-5022.9383
5870,-3203.1183,-4154.9517,-3911.8083,-4863.6417,-3164.9533,-4086.6633,-3988.4533,-4910.1633,-3142.1867,-4053.975,-4112.1867,-5023.975
5871,-3203.7017,-4155.8767,-3912.5717,-4864.7467,-3165.6733,-4087.7417,-3989.4733,-4911.5417,-3142.8967,-4055.0133,-4113.3967,-5025.5133
5872,-3204.445,-4157.02,-3913.425,-4866.0,-3165.79,-4088.1417,-3989.79,-4912.1417,-3143.4617,-4055.7617,-4112.9617,-5025.2617
5873,-3205.1567,-4157.7317,-3914.2267,-4866.8017,-3165.9533,-4088.6283,-3990.1533,-4912.8283,-3144.3533,-4057.0,-4114.3533,-5027.0
5874,-3205.6433,-4158.2433,-3914.85,-4867.45,-3166.48,-4089.1283,-3990.68,-4913.3283,-3144.6733,-4057.015,-4113.6733,-5026.015
5875,-3205.8817,-4158.6733,-3915.245,-4868.0367,-3166.8533,-4089.7833,-3991.3533,-4914.2833,-3144.95,-4057.3717,-4114.45,-5026.8717
