draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12
51,-9.4525,-7.928,-6.8375,-7.812,-4.416,-2.368,-3.652,-0.466,3.427,12.184,10.445,-3.776
52,-9.6375,-8.122,-7.03,-7.934,-4.676,-2.63,-3.83,-0.728,3.299,11.914,10.423,-3.927
53,-9.785,-8.232,-7.1025,-8.196,-4.966,-2.897,-4.08,-1.062,2.978,11.612,10.105,-4.209
54,-9.995,-8.418,-7.385,-8.508,-5.336,-3.216,-4.367,-1.424,2.603,11.242,9.75,-4.535
55,-10.19,-8.556,-7.585,-8.795,-5.668,-3.415,-4.584,-1.708,2.445,10.992,9.513,-4.798
56,-10.36,-8.686,-7.635,-8.78,-5.554,-3.668,-4.828,-2.016,2.229,10.762,9.271,-5.084
57,-10.515,-8.803,-7.755,-8.994,-5.856,-3.947,-5.123,-2.374,1.886,10.482,8.981,-5.412
58,-10.7,-9.038,-8.0275,-9.218,-6.198,-4.288,-5.395,-2.674,1.599,10.192,8.731,-5.468
59,-10.8875,-9.198,-8.0475,-9.156,-6.504,-4.619,-5.669,-2.98,1.274,9.906,8.39,-5.812
60,-11.065,-9.354,-8.2675,-9.447,-6.786,-4.814,-5.896,-3.248,1.045,9.74,8.188,-6.092
61,-11.2625,-9.541,-8.4875,-9.763,-7.152,-5.126,-6.141,-3.52,0.741,9.512,7.944,-6.361
62,-11.4575,-9.731,-8.5775,-9.948,-7.362,-5.324,-6.275,-2.75,0.744,9.462,7.819,-6.561
63,-11.6275,-9.882,-8.805,-10.266,-7.622,-5.593,-6.513,-3.054,0.444,9.27,7.672,-6.791
64,-11.8175,-10.055,-9.0325,-10.493,-7.958,-5.89,-6.718,-2.39,0.316,9.008,7.377,-6.964
65,-11.985,-10.197,-9.185,-10.689,-8.206,-6.199,-6.989,-2.71,0.009,8.702,7.146,-7.274
66,-12.16,-10.358,-9.31,-10.883,-8.542,-6.472,-7.254,-2.996,-0.335,8.342,6.823,-7.606
67,-12.3475,-10.492,-9.405,-10.797,-7.93,-3.483,-2.343,-2.19,-0.366,8.184,6.852,-7.693
68,-12.545,-10.648,-9.4725,-10.992,-7.742,-2.175,-2.469,-2.356,-0.59,8.084,6.713,-7.771
69,-12.6975,-10.786,-9.61,-11.1,-8.044,-2.456,-2.736,-2.6,-0.828,7.882,6.648,-7.986
70,-12.915,-10.975,-9.8475,-11.316,-8.392,-2.828,-3.066,-2.938,-1.174,7.536,6.317,-8.332
71,-13.1,-11.132,-10.025,-11.639,-8.754,-3.216,-3.385,-3.318,-1.535,7.186,6.041,-8.47
72,-13.285,-11.31,-10.1875,-11.841,-8.66,-3.498,-3.619,-3.506,-1.437,7.08,5.91,-8.711
73,-13.5175,-11.499,-10.3975,-12.125,-8.938,-3.749,-3.708,-3.68,-1.493,6.872,5.781,-8.841
74,-13.7,-11.665,-10.5025,-12.161,-8.854,-3.995,-3.876,-3.906,-1.462,7.548,7.27,-6.476
75,-13.9025,-11.865,-10.725,-12.504,-9.224,-4.364,-4.192,-4.238,-1.631,7.308,7.214,-6.623
76,-14.095,-12.032,-10.7825,-12.481,-9.008,-2.894,-4.081,-3.332,-1.467,7.206,7.516,-6.546
77,-14.2575,-12.183,-10.88,-12.794,-9.368,-3.242,-4.397,-3.634,-1.633,6.928,7.411,-6.718
78,-14.45,-12.375,-11.1875,-13.126,-9.718,-3.618,-4.72,-4.018,-1.973,6.566,7.104,-7.033
79,-14.63,-12.514,-11.41,-13.429,-10.056,-3.947,-4.982,-4.326,-2.131,6.364,6.851,-7.303
80,-14.86,-12.712,-11.6425,-13.66,-10.408,-4.301,-5.304,-4.714,-2.535,6.074,6.543,-7.51
81,-15.0425,-12.882,-11.69,-13.765,-10.684,-4.538,-5.539,-4.984,-2.839,5.786,6.244,-7.799
82,-15.2225,-13.02,-11.77,-13.758,-10.42,-4.712,-5.589,-5.168,-3.084,5.562,6.042,-7.929
83,-15.3725,-13.164,-11.875,-13.778,-10.746,-5.02,-5.788,-5.442,-3.376,5.254,5.754,-8.243
84,-15.5525,-13.331,-11.9875,-13.904,-11.024,-5.319,-6.074,-5.8,-3.757,4.884,5.402,-8.479
85,-15.745,-13.5,-12.115,-13.817,-10.416,-2.451,-6.137,-6.044,-4.054,4.62,5.157,-8.778
86,-15.88,-13.621,-12.18,-13.716,-9.75,-2.551,-6.203,-6.22,-4.277,4.446,5.015,-8.881
87,-16.0575,-13.817,-12.3925,-13.844,-10.084,-2.852,-6.479,-6.55,-4.606,4.142,4.711,-9.079
