draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12,para1_kino_2,para1_kino_3,para1_kino_4,para1_kino_5,para1_kino_6,para1_kino_7,para1_kino_8,para1_kino_9,parity_odd,parity_even,parity_draw,column_random
59,-10.8875,-9.198,-8.0475,-9.156,-6.504,-4.619,-5.669,-2.98,1.274,9.906,8.39,-5.812,-16.244,-16.9425,-17.552,-13.804,-10.429,-0.969,17.92,31.774,-6.402,-5.688,-5.32,-5.652
60,-11.065,-9.354,-8.2675,-9.447,-6.786,-4.814,-5.896,-3.248,1.045,9.74,8.188,-6.092,-16.522,-17.3025,-17.911,-14.226,-10.664,-1.696,17.152,31.045,-6.498,-5.79,-5.424,-5.656
61,-11.2625,-9.541,-8.4875,-9.763,-7.152,-5.126,-6.141,-3.52,0.741,9.512,7.944,-6.361,-16.833,-17.7125,-18.375,-14.912,-11.246,-1.541,16.38,30.241,-6.57,-5.912,-5.536,-5.708
62,-11.4575,-9.731,-8.5775,-9.948,-7.362,-5.324,-6.275,-2.75,0.744,9.462,7.819,-6.561,-17.143,-17.9325,-18.596,-15.022,-11.484,-1.275,20.85,29.744,-6.648,-6.038,-5.628,-5.728
63,-11.6275,-9.882,-8.805,-10.266,-7.622,-5.593,-6.513,-3.054,0.444,9.27,7.672,-6.791,-17.396,-18.265,-19.158,-15.302,-12.023,-2.013,20.046,28.944,-6.73,-6.148,-5.744,-5.836
64,-11.8175,-10.055,-9.0325,-10.493,-7.958,-5.89,-6.718,-2.39,0.316,9.008,7.377,-6.964,-17.695,-18.6975,-19.645,-15.898,-12.59,-1.818,24.41,28.316,-6.81,-6.262,-5.856,-5.928
65,-11.985,-10.197,-9.185,-10.689,-8.206,-6.199,-6.989,-2.71,0.009,8.702,7.146,-7.274,-17.941,-19.005,-19.957,-16.106,-13.399,-2.589,23.59,27.509,-6.916,-6.392,-5.884,-6.132
66,-12.16,-10.358,-9.31,-10.883,-8.542,-6.472,-7.254,-2.996,-0.335,8.342,6.823,-7.606,-18.234,-19.28,-20.203,-16.702,-13.942,-3.354,22.804,26.665,-6.986,-6.53,-5.968,-6.216
67,-12.3475,-10.492,-9.405,-10.797,-7.93,-3.483,-2.343,-2.19,-0.366,8.184,6.852,-7.693,-18.506,-19.565,-20.281,-16.23,-10.993,1.957,27.31,26.134,-7.058,-6.664,-6.056,-6.308
68,-12.545,-10.648,-9.4725,-10.992,-7.742,-2.175,-2.469,-2.356,-0.59,8.084,6.713,-7.771,-18.804,-19.7675,-20.608,-16.122,-10.185,2.231,26.644,25.41,-7.152,-6.78,-6.136,-6.44
69,-12.6975,-10.786,-9.61,-11.1,-8.044,-2.456,-2.736,-2.6,-0.828,7.882,6.648,-7.986,-19.068,-20.03,-20.848,-16.624,-10.736,1.464,25.9,24.672,-7.248,-6.886,-6.232,-6.596
70,-12.915,-10.975,-9.8475,-11.316,-8.392,-2.828,-3.066,-2.938,-1.174,7.536,6.317,-8.332,-19.365,-20.4425,-21.244,-17.292,-11.608,0.634,25.062,23.826,-7.334,-6.996,-6.34,-6.72
71,-13.1,-11.132,-10.025,-11.639,-8.754,-3.216,-3.385,-3.318,-1.535,7.186,6.041,-8.47,-19.666,-20.775,-21.779,-17.974,-12.496,-0.185,24.182,22.965,-7.434,-7.064,-6.504,-6.828
72,-13.285,-11.31,-10.1875,-11.841,-8.66,-3.498,-3.619,-3.506,-1.437,7.08,5.91,-8.711,-19.98,-21.1125,-22.097,-18.2,-13.048,-0.919,23.494,22.563,-7.548,-7.164,-6.576,-6.936
73,-13.5175,-11.499,-10.3975,-12.125,-8.938,-3.749,-3.708,-3.68,-1.493,6.872,5.781,-8.841,-20.287,-21.4925,-22.433,-18.618,-13.569,-0.608,22.82,22.007,-7.626,-7.282,-6.684,-6.996
74,-13.7,-11.665,-10.5025,-12.161,-8.854,-3.995,-3.876,-3.906,-1.462,7.548,7.27,-6.476,-20.585,-21.8075,-22.713,-18.854,-13.855,-0.376,22.094,21.538,-7.734,-7.38,-6.772,-7.04
75,-13.9025,-11.865,-10.725,-12.504,-9.224,-4.364,-4.192,-4.238,-1.631,7.308,7.214,-6.623,-20.935,-22.275,-23.3,-19.544,-14.724,-1.192,21.262,20.869,-7.828,-7.508,-6.828,-7.164
76,-14.095,-12.032,-10.7825,-12.481,-9.008,-2.894,-4.081,-3.332,-1.467,7.206,7.516,-6.546,-21.226,-22.4475,-23.329,-19.348,-13.064,1.119,25.868,20.533,-7.956,-7.582,-6.924,-7.264
