global_draw,segment,chosen_strategy,cumulative_profit,bankroll
20106,1,parity_fixed_odd_t10_mg5,0.0,500.0
20107,1,parity_fixed_odd_t10_mg5,0.0,500.0
20108,1,parity_fixed_odd_t10_mg5,0.0,500.0
20109,1,parity_fixed_odd_t10_mg5,0.0,500.0
20110,1,parity_fixed_odd_t10_mg5,0.0,500.0
20111,1,parity_fixed_odd_t10_mg5,0.0,500.0
20112,1,parity_fixed_odd_t10_mg5,0.0,500.0
20113,1,parity_fixed_odd_t10_mg5,0.0,500.0
20114,1,parity_fixed_odd_t10_mg5,0.0,500.0
20115,1,parity_fixed_odd_t10_mg5,0.0,500.0
20116,1,parity_fixed_odd_t10_mg5,0.0,500.0
20117,1,parity_fixed_odd_t10_mg5,0.0,500.0
20118,1,parity_fixed_odd_t10_mg5,0.0,500.0
20119,1,parity_fixed_odd_t10_mg5,0.0,500.0
20120,1,parity_fixed_odd_t10_mg5,0.0,500.0
20121,1,parity_fixed_odd_t10_mg5,0.0,500.0
20122,1,parity_fixed_odd_t10_mg5,0.0,500.0
20123,1,parity_fixed_odd_t10_mg5,0.0,500.0
20124,1,parity_fixed_odd_t10_mg5,0.0,500.0
20125,1,parity_fixed_odd_t10_mg5,0.0,500.0
20126,1,parity_fixed_odd_t10_mg5,0.0,500.0
20127,1,parity_fixed_odd_t10_mg5,0.0,500.0
20128,1,parity_fixed_odd_t10_mg5,0.0,500.0
20129,1,parity_fixed_odd_t10_mg5,0.0,500.0
20130,1,parity_fixed_odd_t10_mg5,0.0,500.0
20131,1,parity_fixed_odd_t10_mg5,0.0,500.0
20132,1,parity_fixed_odd_t10_mg5,0.0,500.0
20133,1,parity_fixed_odd_t10_mg5,0.0,500.0
20134,1,parity_fixed_odd_t10_mg5,0.0,500.0
20135,1,parity_fixed_odd_t10_mg5,0.0,500.0
20136,1,parity_fixed_odd_t10_mg5,0.0,500.0
20137,1,parity_fixed_odd_t10_mg5,0.0,500.0
20138,1,parity_fixed_odd_t10_mg5,0.0,500.0
20139,1,parity_fixed_odd_t10_mg5,0.0,500.0
20140,1,parity_fixed_odd_t10_mg5,0.0,500.0
20141,1,parity_fixed_odd_t10_mg5,0.0,500.0
20142,1,parity_fixed_odd_t10_mg5,0.0,500.0
20143,1,parity_fixed_odd_t10_mg5,0.0,500.0
20144,1,parity_fixed_odd_t10_mg5,0.0,500.0
20145,1,parity_fixed_odd_t10_mg5,0.0,500.0
20146,1,parity_fixed_odd_t10_mg5,0.0,500.0
20147,1,parity_fixed_odd_t10_mg5,0.0,500.0
20148,1,parity_fixed_odd_t10_mg5,0.0,500.0
20149,1,parity_fixed_odd_t10_mg5,0.0,500.0
20150,1,parity_fixed_odd_t10_mg5,0.0,500.0
20151,1,parity_fixed_odd_t10_mg5,0.0,500.0
20152,1,parity_fixed_odd_t10_mg5,0.0,500.0
20153,1,parity_fixed_odd_t10_mg5,0.0,500.0
20154,1,parity_fixed_odd_t10_mg5,0.0,500.0
20155,1,parity_fixed_odd_t10_mg5,0.0,500.0
20156,1,parity_fixed_odd_t10_mg5,0.0,500.0
20157,1,parity_fixed_odd_t10_mg5,0.0,500.0
20158,1,parity_fixed_odd_t10_mg5,0.0,500.0
20159,1,parity_fixed_odd_t10_mg5,0.0,500.0
20160,1,parity_fixed_odd_t10_mg5,0.0,500.0
