draw,pick,cumulative_profit,roi
4600,7,1544.0,0.671304
4600,9,-834.0,-0.362609
4700,2,-750.5,-0.319362
4700,5,77.0,0.032766
4700,7,1523.0,0.648085
4700,9,-866.0,-0.368511
4800,2,-765.5,-0.318958
4800,5,48.0,0.02
4800,7,1515.5,0.631458
4800,9,-901.5,-0.375625
4900,2,-787.5,-0.321429
4900,5,25.0,0.010204
4900,7,1509.0,0.615918
4900,9,-922.5,-0.376531
5000,2,-803.5,-0.3214
5000,5,-19.0,-0.0076
5000,7,1487.5,0.595
5000,9,-961.0,-0.3844
5100,2,-819.0,-0.321176
5100,5,-64.0,-0.025098
5100,7,1462.5,0.573529
5100,9,-1000.5,-0.392353
5200,2,-837.5,-0.322115
5200,5,-106.0,-0.040769
5200,7,1427.5,0.549038
5200,9,-1026.5,-0.394808
5300,2,-862.0,-0.325283
5300,5,-149.0,-0.056226
5300,7,1389.0,0.524151
5300,9,-1055.0,-0.398113
5400,2,-865.5,-0.320556
5400,5,-190.0,-0.07037
5400,7,1371.5,0.507963
5400,9,-1081.5,-0.400556
5500,2,-885.5,-0.322
5500,5,-220.0,-0.08
5500,7,1353.5,0.492182
5500,9,-1120.5,-0.407455
5600,2,-908.5,-0.324464
5600,5,-244.0,-0.087143
5600,7,1326.5,0.47375
5600,9,-1133.5,-0.404821
5700,2,-921.5,-0.323333
5700,5,-267.0,-0.093684
5700,7,1304.5,0.457719
5700,9,-1165.5,-0.408947
5800,2,-926.5,-0.319483
5800,5,-291.0,-0.100345
5800,7,1325.0,0.456897
5800,9,-1198.0,-0.413103
5900,2,-945.5,-0.320508
5900,5,-321.0,-0.108814
5900,7,1297.5,0.439831
5900,9,-1206.5,-0.408983
6000,2,-960.0,-0.32
6000,5,-338.0,-0.112667
6000,7,1274.0,0.424667
6000,9,-1222.0,-0.407333
6100,2,-980.0,-0.321311
6100,5,-350.0,-0.114754
6100,7,1259.0,0.412787
6100,9,-1228.5,-0.402787
6200,2,-997.5,-0.321774
6200,5,-354.0,-0.114194
6200,7,1253.0,0.404194
6200,9,-1270.5,-0.409839
6300,2,-1002.0,-0.318095
6300,5,-394.0,-0.125079
6300,7,1217.0,0.386349
6300,9,-1306.0,-0.414603
6400,2,-1025.5,-0.320469
6400,5,-437.0,-0.136563
6400,7,1189.5,0.371719
6400,9,-1336.5,-0.417656
6500,2,-1048.0,-0.322462
6500,5,-456.0,-0.140308
6500,7,1160.5,0.357077
6500,9,-1371.0,-0.421846
6600,2,-1066.5,-0.323182
6600,5,-252.0,-0.076364
6600,7,1122.5,0.340152
6600,9,-1406.0,-0.426061
6700,2,-1088.0,-0.324776
6700,5,-253.0,-0.075522
6700,7,1137.0,0.339403
6700,9,-1428.0,-0.426269
6800,2,-1106.5,-0.325441
6800,5,-283.0,-0.083235
6800,7,1109.0,0.326176
6800,9,-1466.5,-0.431324
6900,2,-1125.5,-0.326232
6900,5,-306.0,-0.088696
6900,7,1095.0,0.317391
6900,9,-1473.5,-0.427101
7000,2,-1142.5,-0.326429
7000,5,-336.0,-0.096
7000,7,1065.0,0.304286
7000,9,-1413.0,-0.403714
7100,2,-1156.5,-0.325775
7100,5,-153.0,-0.043099
7100,7,1029.5,0.29
7100,9,-1430.0,-0.402817
7200,2,-1182.5,-0.328472
7200,5,-185.0,-0.051389
7200,7,994.0,0.276111
7200,9,-1467.0,-0.4075
7300,2,-1206.5,-0.330548
7300,5,-200.0,-0.054795
7300,7,967.0,0.264932
7300,9,-1501.0,-0.411233
7400,2,-1214.5,-0.328243
7400,5,-234.0,-0.063243
7400,7,934.0,0.252432
7400,9,-1536.0,-0.415135
7500,2,-1223.0,-0.326133
7500,5,-51.0,-0.0136
7500,7,909.0,0.2424
7500,9,-1553.5,-0.414267
7600,2,-1245.0,-0.327632
7600,5,-75.0,-0.019737
7600,7,882.5,0.232237
7600,9,-1578.0,-0.415263
7700,2,-1269.0,-0.32961
7700,5,-119.0,-0.030909
7700,7,847.5,0.22013
7700,9,-1614.0,-0.419221
7800,2,-1274.5,-0.326795
7800,5,-144.0,-0.036923
7800,7,813.5,0.20859
7800,9,-1633.0,-0.418718
7900,2,-1285.0,-0.325316
7900,5,-185.0,-0.046835
7900,7,803.0,0.203291
7900,9,-1662.5,-0.420886
8000,2,-1302.0,-0.3255
8000,5,-218.0,-0.0545
8000,7,768.5,0.192125
8000,9,-1701.0,-0.42525
8100,2,-1318.5,-0.325556
8100,5,-265.0,-0.065432
8100,7,750.5,0.185309
8100,9,-1721.0,-0.424938
8200,2,-1341.0,-0.327073
8200,5,-297.0,-0.072439
8200,7,729.5,0.177927
8200,9,-1731.0,-0.422195
8300,2,-1366.0,-0.329157
8300,5,-320.0,-0.077108
8300,7,718.0,0.173012
8300,9,-1758.5,-0.423735
8400,2,-1387.5,-0.330357
8400,5,-138.0,-0.032857
8400,7,692.0,0.164762
8400,9,-1773.0,-0.422143
8500,2,-1409.5,-0.331647
8500,5,-163.0,-0.038353
8500,7,670.5,0.157765
8500,9,-1679.5,-0.395176
8600,2,-1424.5,-0.331279
8600,5,-187.0,-0.043488
8600,7,663.5,0.154302
8600,9,-1716.5,-0.399186
8700,2,-1443.0,-0.331724
8700,5,-219.0,-0.050345
8700,7,630.0,0.144828
8700,9,-1758.5,-0.404253
8800,2,-1453.0,-0.330227
8800,5,-235.0,-0.053409
8800,7,605.5,0.137614
8800,9,-1697.0,-0.385682
8900,2,-1472.0,-0.330787
8900,5,-267.0,-0.06
8900,7,569.0,0.127865
8900,9,-1723.0,-0.387191
9000,2,-1490.0,-0.331111
9000,5,-298.0,-0.066222
9000,7,557.0,0.123778
9000,9,-1746.0,-0.388
9100,2,-1513.0,-0.332527
9100,5,-106.0,-0.023297
9100,7,519.0,0.114066
9100,9,-1678.0,-0.368791
9200,2,-1519.5,-0.330326
9200,5,-127.0,-0.027609
9200,7,504.5,0.109674
9200,9,-1713.5,-0.3725
9300,2,-1528.0,-0.328602
9300,5,-157.0,-0.033763
9300,7,472.0,0.101505
9300,9,-1746.0,-0.375484
9400,2,-1551.0,-0.33
9400,5,-188.0,-0.04
9400,7,501.5,0.106702
9400,9,-1769.5,-0.376489
9500,2,-1569.0,-0.330316
9500,5,-220.0,-0.046316
9500,7,469.5,0.098842
9500,9,-1789.5,-0.376737
9600,2,-1582.0,-0.329583
9600,5,-36.0,-0.0075
9600,7,440.5,0.091771
9600,9,-1830.0,-0.38125
9700,2,-1603.5,-0.330619
9700,5,-82.0,-0.016907
9700,7,405.0,0.083505
9700,9,-1855.5,-0.382577
9800,2,-1623.5,-0.331327
9800,5,-100.0,-0.020408
9800,7,369.5,0.075408
9800,9,-1893.0,-0.386327
9900,2,-1638.5,-0.33101
9900,5,103.0,0.020808
9900,7,334.5,0.067576
9900,9,-1903.5,-0.384545
10000,2,-1652.5,-0.3305
10000,5,83.0,0.0166
10000,7,308.0,0.0616
10000,9,-1939.5,-0.3879
10100,2,-1675.0,-0.331683
10100,5,78.0,0.015446
10100,7,269.0,0.053267
10100,9,-1979.5,-0.39198
10200,2,-1691.0,-0.331569
10200,5,44.0,0.008627
10200,7,247.5,0.048529
10200,9,-2016.0,-0.395294
10300,2,-1705.0,-0.331068
10300,5,12.0,0.00233
10300,7,212.0,0.041165
10300,9,-2055.0,-0.399029
10400,2,-1716.5,-0.330096
10400,5,-31.0,-0.005962
10400,7,188.0,0.036154
10400,9,-2092.0,-0.402308
10500,2,-1721.0,-0.32781
10500,5,-49.0,-0.009333
10500,7,171.5,0.032667
10500,9,-2130.0,-0.405714
10600,2,-1732.5,-0.326887
10600,5,-84.0,-0.015849
10600,7,145.0,0.027358
10600,9,-2169.0,-0.409245
10700,2,-1754.5,-0.327944
10700,5,-116.0,-0.021682
10700,7,124.5,0.023271
10700,9,-2189.5,-0.409252
10800,2,-1770.5,-0.32787
10800,5,-149.0,-0.027593
10800,7,108.0,0.02
10800,9,-2228.5,-0.412685
10900,2,-1789.5,-0.328349
10900,5,-180.0,-0.033028
10900,7,78.5,0.014404
10900,9,-2249.5,-0.412752
11000,2,-1817.5,-0.330455
11000,5,-220.0,-0.04
11000,7,47.0,0.008545
11000,9,-2289.0,-0.416182
11100,2,-1837.5,-0.331081
11100,5,-244.0,-0.043964
11100,7,73.5,0.013243
11100,9,-2321.0,-0.418198
11200,2,-1854.0,-0.331071
11200,5,-275.0,-0.049107
11200,7,54.5,0.009732
11200,9,-2248.5,-0.401518
11300,2,-1870.5,-0.331062
11300,5,-315.0,-0.055752
11300,7,22.0,0.003894
11300,9,-2284.5,-0.404336
11400,2,-1881.5,-0.330088
11400,5,-322.0,-0.056491
11400,7,-5.5,-0.000965
11400,9,-2325.0,-0.407895
11500,2,-1893.0,-0.329217
11500,5,-355.0,-0.061739
11500,7,-23.5,-0.004087
11500,9,-2360.0,-0.410435
11600,2,-1893.5,-0.326466
11600,5,-376.0,-0.064828
11600,7,-26.5,-0.004569
11600,9,-2382.0,-0.41069
11700,2,-1908.5,-0.326239
11700,5,-410.0,-0.070085
11700,7,-52.0,-0.008889
11700,9,-2413.5,-0.412564
11800,2,-1929.0,-0.326949
11800,5,-449.0,-0.076102
11800,7,-86.0,-0.014576
11800,9,-2454.5,-0.416017
11900,2,-1941.5,-0.326303
11900,5,-243.0,-0.04084
11900,7,-100.0,-0.016807
11900,9,-2493.0,-0.418992
12000,2,-1957.0,-0.326167
12000,5,-265.0,-0.044167
12000,7,-133.5,-0.02225
12000,9,-2516.0,-0.419333
12100,2,-1970.0,-0.32562
12100,5,-295.0,-0.04876
12100,7,-168.5,-0.027851
12100,9,-2512.5,-0.415289
12200,2,-1985.0,-0.32541
12200,5,-333.0,-0.05459
12200,7,-190.0,-0.031148
12200,9,-2523.0,-0.413607
12300,2,-1999.0,-0.325041
12300,5,-365.0,-0.05935
12300,7,-224.0,-0.036423
12300,9,-2558.5,-0.416016
12400,2,-2021.0,-0.325968
12400,5,-407.0,-0.065645
12400,7,-255.0,-0.041129
12400,9,-2586.5,-0.417177
12500,2,-2039.5,-0.32632
12500,5,-433.0,-0.06928
12500,7,-263.5,-0.04216
12500,9,-2619.5,-0.41912
12600,2,-2056.0,-0.326349
12600,5,-470.0,-0.074603
12600,7,-269.5,-0.042778
12600,9,-2643.5,-0.419603
12700,2,-2073.5,-0.326535
12700,5,-503.0,-0.079213
12700,7,-292.5,-0.046063
12700,9,-2673.0,-0.420945
12800,2,-2084.0,-0.325625
12800,5,-543.0,-0.084844
12800,7,-324.5,-0.050703
12800,9,-2715.0,-0.424219
12900,2,-2101.5,-0.325814
12900,5,-566.0,-0.087752
12900,7,-357.0,-0.055349
12900,9,-2751.0,-0.426512
13000,2,-2122.0,-0.326462
13000,5,-595.0,-0.091538
13000,7,-329.5,-0.050692
13000,9,-2784.5,-0.428385
13100,2,-2138.5,-0.326489
13100,5,-638.0,-0.097405
13100,7,-352.0,-0.05374
13100,9,-2815.0,-0.429771
13200,2,-2161.5,-0.3275
13200,5,-679.0,-0.102879
13200,7,-375.5,-0.056894
13200,9,-2848.0,-0.431515
13300,2,-2181.5,-0.328045
13300,5,-488.0,-0.073383
13300,7,-401.5,-0.060376
13300,9,-2876.5,-0.432556
13400,2,-2199.0,-0.328209
13400,5,-518.0,-0.077313
13400,7,-419.0,-0.062537
13400,9,-2918.0,-0.435522
13500,2,-2226.0,-0.329778
13500,5,-553.0,-0.081926
13500,7,-436.0,-0.064593
13500,9,-2945.5,-0.43637
13600,2,-2242.0,-0.329706
13600,5,-585.0,-0.086029
13600,7,-462.5,-0.068015
13600,9,-2971.5,-0.436985
13700,2,-2255.0,-0.329197
13700,5,-604.0,-0.088175
13700,7,-496.0,-0.072409
13700,9,-3014.5,-0.440073
13800,2,-2262.5,-0.327899
13800,5,-649.0,-0.094058
13800,7,-515.0,-0.074638
13800,9,-3043.5,-0.441087
13900,2,-2282.5,-0.328417
13900,5,-661.0,-0.095108
13900,7,-552.5,-0.079496
13900,9,-3081.0,-0.443309
14000,2,-2306.5,-0.3295
14000,5,-707.0,-0.101
14000,7,-566.5,-0.080929
14000,9,-3105.5,-0.443643
14100,2,-2313.0,-0.328085
14100,5,-751.0,-0.106525
14100,7,-603.5,-0.085603
14100,9,-3143.5,-0.445887
14200,2,-2334.0,-0.328732
14200,5,-764.0,-0.107606
14200,7,-638.0,-0.089859
14200,9,-3155.5,-0.444437
14300,2,-2355.0,-0.329371
14300,5,-793.0,-0.110909
14300,7,-663.5,-0.092797
14300,9,-3197.5,-0.447203
14400,2,-2366.0,-0.328611
14400,5,-594.0,-0.0825
14400,7,-688.0,-0.095556
14400,9,-3211.5,-0.446042
14500,2,-2373.5,-0.327379
14500,5,-616.0,-0.084966
14500,7,-670.0,-0.092414
14500,9,-3254.5,-0.448897
14600,2,-2394.0,-0.327945
14600,5,-641.0,-0.087808
14600,7,-685.0,-0.093836
14600,9,-3287.0,-0.450274
14700,2,-2395.5,-0.325918
14700,5,-681.0,-0.092653
14700,7,-709.0,-0.096463
14700,9,-3081.5,-0.419252
14800,2,-2403.5,-0.324797
14800,5,-714.0,-0.096486
14800,7,-732.5,-0.098986
14800,9,-3112.0,-0.420541
14900,2,-2421.5,-0.325034
14900,5,-741.0,-0.099463
14900,7,-748.5,-0.10047
14900,9,-3049.0,-0.409262
15000,2,-2441.0,-0.325467
15000,5,-781.0,-0.104133
