draw,plain_kino_1,plain_kino_2,plain_kino_3,plain_kino_4,plain_kino_5,plain_kino_6,plain_kino_7,plain_kino_8,plain_kino_9,plain_kino_10,plain_kino_11,plain_kino_12,para1_kino_2,para1_kino_3,para1_kino_4,para1_kino_5,para1_kino_6,para1_kino_7,para1_kino_8,para1_kino_9,parity_odd,parity_even,parity_draw,column_random
8714,-1637.145,-1400.246,-1340.335,-1368.166,-1348.156,-1336.532,-1255.93,-1251.672,-1132.926,-1308.864,-1359.006,-1278.716,-2450.518,-2680.205,-2718.542,-2560.076,-2659.372,-2750.93,-2811.472,-2169.926,-889.828,-883.588,-810.168,-867.56
8715,-1637.355,-1400.426,-1340.475,-1368.494,-1348.416,-1336.876,-1256.222,-1252.044,-1133.288,-1309.232,-1359.394,-1279.046,-2450.758,-2680.525,-2719.114,-2560.356,-2660.216,-2751.722,-2812.344,-2170.788,-889.944,-883.704,-810.204,-867.66
8716,-1637.54,-1400.608,-1340.625,-1368.82,-1348.616,-1337.058,-1256.414,-1252.304,-1133.524,-1309.528,-1359.762,-1279.412,-2451.084,-2680.875,-2719.62,-2560.336,-2660.438,-2752.414,-2813.104,-2171.524,-890.056,-883.872,-810.144,-867.696
8717,-1637.74,-1400.77,-1340.805,-1369.124,-1348.94,-1337.38,-1256.638,-1252.58,-1133.736,-1309.672,-1359.926,-1279.52,-2451.35,-2681.215,-2720.04,-2560.92,-2661.26,-2753.138,-2813.88,-2172.236,-890.164,-883.984,-810.204,-867.892
8718,-1637.875,-1400.906,-1341.07,-1369.224,-1349.128,-1337.554,-1256.814,-1252.788,-1133.602,-1309.572,-1359.91,-1279.626,-2451.538,-2681.61,-2720.32,-2561.008,-2661.474,-2753.814,-2814.588,-2172.602,-890.284,-884.1,-810.232,-868.024
8719,-1638.065,-1401.04,-1341.16,-1369.1,-1348.468,-1337.734,-1257.008,-1253.08,-1133.91,-1309.884,-1360.19,-1279.82,-2451.78,-2681.78,-2720.248,-2560.368,-2661.694,-2754.508,-2815.38,-2173.41,-890.336,-884.22,-810.388,-868.188
8720,-1638.27,-1401.212,-1341.21,-1369.212,-1348.728,-1337.866,-1257.226,-1253.372,-1134.16,-1309.908,-1360.298,-1280.046,-2452.056,-2682.03,-2720.54,-2560.648,-2661.406,-2755.226,-2816.172,-2174.16,-890.432,-884.32,-810.496,-868.352
8721,-1638.47,-1401.384,-1341.34,-1369.144,-1349.004,-1338.226,-1257.582,-1253.744,-1134.458,-1310.216,-1360.576,-1280.256,-2452.332,-2682.32,-2720.716,-2560.944,-2662.266,-2756.082,-2817.044,-2174.958,-890.576,-884.4,-810.548,-868.532
8722,-1638.615,-1401.54,-1341.555,-1369.074,-1349.308,-1338.47,-1257.838,-1254.068,-1134.792,-1310.484,-1360.862,-1280.52,-2452.58,-2682.665,-2720.954,-2561.388,-2662.55,-2756.838,-2817.868,-2175.792,-890.656,-884.496,-810.696,-868.712
8723,-1638.82,-1401.658,-1341.69,-1369.372,-1349.676,-1338.738,-1258.074,-1254.236,-1134.662,-1310.584,-1360.994,-1280.564,-2452.854,-2682.97,-2721.368,-2562.136,-2662.858,-2757.574,-2818.536,-2176.162,-890.772,-884.528,-810.9,-868.796
8724,-1639.01,-1401.792,-1341.945,-1369.698,-1350.032,-1339.064,-1258.372,-1254.624,-1135.042,-1310.896,-1361.242,-1280.86,-2453.136,-2683.435,-2721.906,-2562.872,-2663.684,-2758.372,-2819.424,-2177.042,-890.86,-884.612,-811.056,-868.976
8725,-1639.22,-1401.99,-1342.19,-1369.836,-1350.384,-1339.434,-1258.696,-1254.932,-1135.39,-1311.256,-1361.632,-1281.208,-2453.45,-2683.87,-2722.352,-2563.484,-2664.554,-2759.196,-2820.232,-2177.89,-890.992,-884.68,-811.156,-869.268
8726,-1639.415,-1402.194,-1342.45,-1370.178,-1350.748,-1339.838,-1259.026,-1255.224,-1135.696,-1311.472,-1361.944,-1281.504,-2453.782,-2684.35,-2722.906,-2564.108,-2665.458,-2760.026,-2821.024,-2178.696,-891.088,-884.828,-811.168,-869.528
8727,-1639.58,-1402.308,-1342.5,-1370.046,-1350.116,-1339.998,-1259.166,-1255.46,-1135.934,-1311.592,-1362.074,-1281.442,-2454.044,-2684.5,-2722.89,-2563.616,-2665.658,-2760.666,-2821.76,-2179.434,-891.212,-884.964,-811.148,-869.612
8728,-1639.72,-1402.446,-1342.545,-1370.162,-1350.34,-1340.292,-1259.344,-1255.768,-1136.27,-1311.872,-1362.296,-1281.752,-2454.278,-2684.635,-2723.218,-2563.74,-2666.452,-2761.344,-2822.568,-2180.27,-891.288,-885.088,-811.248,-869.728
8729,-1639.925,-1402.544,-1342.43,-1370.23,-1350.596,-1340.57,-1259.652,-1256.084,-1136.634,-1312.232,-1362.58,-1281.926,-2454.492,-2684.59,-2723.306,-2564.016,-2667.23,-2762.152,-2823.384,-2181.134,-891.416,-885.156,-811.356,-869.796
8730,-1640.06,-1402.71,-1342.455,-1370.494,-1350.848,-1340.776,-1259.824,-1256.352,-1136.822,-1312.24,-1362.31,-1281.934,-2454.77,-2684.765,-2723.686,-2564.288,-2667.476,-2762.824,-2824.152,-2181.822,-891.524,-885.264,-811.424,-869.832
8731,-1640.255,-1402.868,-1342.655,-1370.804,-1351.224,-1341.074,-1260.066,-1256.524,-1137.026,-1312.532,-1362.512,-1281.87,-2455.024,-2685.065,-2724.176,-2565.164,-2668.274,-2763.566,-2824.824,-2182.526,-891.608,-885.34,-811.604,-870.028
8732,-1640.48,-1403.034,-1342.82,-1371.118,-1351.488,-1341.404,-1260.328,-1256.796,-1137.35,-1312.868,-1362.892,-1282.262,-2455.362,-2685.36,-2724.638,-2565.448,-2669.104,-2764.328,-2825.596,-2183.35,-891.76,-885.412,-811.656,-870.176
8733,-1640.635,-1403.178,-1343.035,-1371.406,-1351.78,-1341.556,-1260.322,-1256.888,-1137.528,-1312.928,-1362.868,-1282.432,-2455.594,-2685.705,-2725.042,-2565.88,-2669.296,-2763.022,-2826.188,-2184.028,-891.856,-885.572,-811.644,-870.18
8734,-1640.78,-1403.33,-1343.335,-1371.714,-1352.116,-1341.8,-1260.54,-1257.132,-1137.736,-1313.1,-1362.928,-1282.568,-2455.87,-2686.105,-2725.53,-2566.476,-2669.58,-2763.74,-2826.932,-2184.736,-891.944,-885.688,-811.736,-870.184
8735,-1640.935,-1403.472,-1343.515,-1371.742,-1351.44,-1341.686,-1260.462,-1257.212,-1137.52,-1312.324,-1362.722,-1282.482,-2456.076,-2686.345,-2725.418,-2565.82,-2668.126,-2762.362,-2827.512,-2185.02,-892.064,-885.772,-811.828,-870.284
8736,-1641.09,-1403.652,-1343.745,-1372.052,-1351.736,-1341.988,-1260.674,-1257.568,-1137.898,-1312.648,-1363.048,-1282.776,-2456.356,-2686.735,-2725.908,-2566.256,-2668.928,-2763.074,-2828.368,-2185.898,-892.172,-885.876,-811.904,-870.4
8737,-1641.24,-1403.754,-1343.85,-1372.154,-1351.204,-1342.118,-1260.884,-1257.828,-1138.106,-1312.832,-1363.18,-1282.998,-2456.562,-2686.95,-2726.254,-2566.104,-2668.638,-2763.784,-2829.128,-2186.606,-892.256,-885.996,-811.996,-870.516
8738,-1641.38,-1403.942,-1343.99,-1372.482,-1351.512,-1342.402,-1261.15,-1258.108,-1138.44,-1313.18,-1363.554,-1283.338,-2456.866,-2687.27,-2726.73,-2566.552,-2668.962,-2764.55,-2829.908,-2187.44,-892.376,-886.096,-812.056,-870.664
8739,-1641.53,-1404.09,-1344.115,-1372.766,-1351.836,-1342.666,-1261.42,-1258.356,-1138.74,-1313.472,-1363.894,-1283.636,-2457.15,-2687.545,-2727.066,-2567.136,-2669.266,-2765.32,-2830.656,-2188.24,-892.492,-886.18,-812.156,-870.828
8740,-1641.735,-1404.212,-1344.125,-1372.852,-1352.016,-1342.956,-1261.576,-1258.42,-1138.6,-1313.572,-1363.662,-1283.634,-2457.456,-2687.675,-2727.3,-2567.096,-2670.056,-2765.976,-2831.22,-2188.6,-892.576,-886.3,-812.248,-870.864
8741,-1641.93,-1404.362,-1344.35,-1373.14,-1352.196,-1342.96,-1261.684,-1258.62,-1138.542,-1312.864,-1363.492,-1283.678,-2457.746,-2688.05,-2727.64,-2567.056,-2669.18,-2766.584,-2831.92,-2189.042,-892.672,-886.416,-812.324,-871.012
8742,-1642.175,-1404.604,-1344.705,-1373.498,-1352.504,-1343.302,-1261.988,-1258.892,-1138.838,-1313.116,-1363.758,-1283.95,-2458.112,-2688.615,-2728.306,-2567.504,-2670.022,-2767.388,-2832.692,-2189.838,-892.84,-886.476,-812.368,-871.048
8743,-1642.36,-1404.714,-1344.645,-1373.184,-1352.728,-1343.376,-1262.158,-1259.112,-1139.068,-1313.384,-1363.978,-1284.276,-2458.362,-2688.635,-2728.14,-2567.748,-2669.676,-2768.058,-2833.412,-2190.568,-892.948,-886.588,-812.428,-871.212
8744,-1642.53,-1404.818,-1344.865,-1373.458,-1353.012,-1343.602,-1262.268,-1259.356,-1138.948,-1313.312,-1363.702,-1284.304,-2458.594,-2688.895,-2728.434,-2568.172,-2669.942,-2766.868,-2834.156,-2190.948,-893.112,-886.672,-812.432,-871.296
8745,-1642.735,-1405.02,-1344.975,-1373.574,-1353.24,-1343.962,-1262.536,-1259.624,-1139.272,-1313.636,-1364.002,-1284.662,-2458.96,-2689.225,-2728.698,-2568.3,-2670.802,-2767.636,-2834.924,-2191.772,-893.24,-886.736,-812.548,-871.268
8746,-1642.9,-1405.136,-1345.18,-1373.49,-1353.544,-1344.198,-1262.792,-1259.936,-1139.596,-1313.928,-1364.232,-1284.61,-2459.208,-2689.54,-2728.826,-2568.744,-2671.078,-2768.392,-2835.736,-2192.596,-893.372,-886.804,-812.648,-871.272
8747,-1643.115,-1405.346,-1345.215,-1373.01,-1352.756,-1344.29,-1262.928,-1260.108,-1139.816,-1314.064,-1364.462,-1284.924,-2459.578,-2689.745,-2728.494,-2567.496,-2670.75,-2769.028,-2836.408,-2193.316,-893.488,-886.892,-812.74,-871.532
8748,-1643.27,-1405.502,-1345.505,-1373.332,-1353.124,-1344.65,-1263.226,-1260.46,-1140.162,-1314.28,-1364.758,-1285.284,-2459.846,-2690.115,-2729.06,-2568.124,-2671.61,-2769.826,-2837.26,-2194.162,-893.58,-886.988,-812.864,-871.648
8749,-1643.46,-1405.66,-1345.685,-1373.456,-1353.388,-1344.976,-1263.508,-1260.776,-1140.482,-1314.536,-1365.036,-1285.572,-2460.14,-2690.455,-2729.364,-2568.408,-2672.436,-2770.608,-2838.076,-2194.982,-893.668,-887.088,-812.988,-871.684
8750,-1643.625,-1405.8,-1345.81,-1373.544,-1353.62,-1345.136,-1263.698,-1260.948,-1140.3,-1314.652,-1364.78,-1285.558,-2460.4,-2690.73,-2729.6,-2568.54,-2672.636,-2771.298,-2838.748,-2195.3,-893.764,-887.192,-813.088,-871.576
8751,-1643.77,-1405.998,-1346.13,-1373.868,-1353.908,-1345.472,-1263.964,-1261.288,-1140.644,-1315.004,-1365.036,-1285.878,-2460.694,-2691.19,-2730.136,-2568.968,-2673.472,-2772.064,-2839.588,-2196.144,-893.816,-887.3,-813.268,-871.772
8752,-1643.94,-1406.134,-1346.265,-1373.79,-1353.36,-1345.676,-1264.022,-1261.516,-1140.84,-1315.16,-1365.206,-1285.882,-2460.862,-2691.495,-2730.334,-2568.8,-2673.716,-2770.822,-2840.316,-2196.84,-893.916,-887.44,-813.288,-871.856
8753,-1644.14,-1406.296,-1346.37,-1373.678,-1353.608,-1345.97,-1264.252,-1261.808,-1141.136,-1315.364,-1365.448,-1286.234,-2461.168,-2691.71,-2730.338,-2569.068,-2674.51,-2771.552,-2841.108,-2197.636,-893.976,-887.596,-813.356,-872.036
